이름,연도,타율,출루,장타,OPS,경기당득점,경기당안타,경기당2루타,경기당3루타,경기당홈런,경기당루타,경기당타점,경기당도루,경기당볼넷,경기당삼진,경기당병살,경기당희생타
삼성,1997,0.277,0.356,0.462,0.819,5.73015873015873,9.476190476190476,2.015873015873016,0.19047619047619047,1.3095238095238095,15.801587301587302,5.309523809523809,1.0873015873015872,3.619047619047619,6.380952380952381,0.5317460317460317,0.6984126984126984
삼성,1993,0.268,0.344,0.408,0.752,4.865079365079365,9.277777777777779,1.3412698412698412,0.1746031746031746,1.0555555555555556,14.134920634920634,4.698412698412699,0.8095238095238095,3.6904761904761907,5.253968253968254,0.8333333333333334,0.42063492063492064
LG,1994,0.282,0.358,0.409,0.767,5.198412698412699,9.555555555555555,1.626984126984127,0.2857142857142857,0.6984126984126984,13.84920634920635,4.857142857142857,1.1349206349206349,3.611111111111111,4.5476190476190474,0.6587301587301587,0.42857142857142855
현대,2000,0.278,0.365,0.483,0.849,5.842105263157895,9.360902255639099,1.849624060150376,0.18796992481203006,1.5639097744360901,16.278195488721803,5.533834586466165,0.7819548872180451,4.120300751879699,6.804511278195489,0.6541353383458647,0.556390977443609
삼성,2002,0.284,0.36,0.472,0.831,5.842105263157895,9.93233082706767,2.0,0.12030075187969924,1.4360902255639099,16.481203007518797,5.496240601503759,0.3533834586466165,3.526315789473684,6.045112781954887,0.8721804511278195,0.41353383458646614
삼성,1987,0.3,0.368,0.444,0.812,5.398148148148148,10.37037037037037,1.5185185185185186,0.26851851851851855,0.9722222222222222,15.342592592592593,5.074074074074074,0.9351851851851852,3.5185185185185186,4.148148148148148,0.8148148148148148,0.24074074074074073
두산,2018,0.309,0.376,0.486,0.862,6.555555555555555,11.118055555555555,1.9722222222222223,0.20833333333333334,1.3263888888888888,17.48611111111111,6.236111111111111,0.6666666666666666,3.4444444444444446,7.055555555555555,0.7777777777777778,0.2986111111111111
현대,2003,0.286,0.374,0.456,0.829,5.43609022556391,9.62406015037594,1.5639097744360901,0.11278195488721804,1.3157894736842106,15.360902255639099,5.06015037593985,0.5639097744360902,4.082706766917293,5.466165413533835,0.7518796992481203,1.0451127819548873
삼성,2003,0.284,0.36,0.482,0.842,5.7819548872180455,9.736842105263158,1.7744360902255638,0.10526315789473684,1.6015037593984962,16.526315789473685,5.593984962406015,0.42105263157894735,3.6165413533834587,4.969924812030075,0.9849624060150376,0.5488721804511278
빙그레,1991,0.274,0.353,0.434,0.787,5.111111111111111,9.166666666666666,1.4365079365079365,0.3412698412698413,1.0793650793650793,14.523809523809524,4.817460317460317,0.9603174603174603,3.8492063492063493,5.587301587301587,0.7301587301587301,0.6666666666666666
두산,2017,0.294,0.369,0.459,0.828,5.895833333333333,10.409722222222221,1.875,0.1388888888888889,1.2361111111111112,16.270833333333332,5.638888888888889,0.4791666666666667,3.7569444444444446,6.666666666666667,0.8333333333333334,0.3333333333333333
두산,2016,0.298,0.378,0.473,0.851,6.493055555555555,10.444444444444445,1.9722222222222223,0.1736111111111111,1.2708333333333333,16.57638888888889,6.090277777777778,0.5902777777777778,4.166666666666667,6.138888888888889,0.8402777777777778,0.2986111111111111
두산,2013,0.289,0.37,0.42,0.79,5.4609375,9.9296875,1.6953125,0.2890625,0.7421875,14.4296875,5.109375,1.34375,4.09375,5.6015625,0.8203125,0.640625
롯데,2011,0.288,0.358,0.422,0.781,5.360902255639098,9.954887218045112,1.699248120300752,0.22556390977443608,0.8345864661654135,14.609022556390977,5.007518796992481,0.8421052631578947,3.5037593984962405,6.285714285714286,0.9323308270676691,0.45864661654135336
삼성,2012,0.272,0.353,0.389,0.742,4.7218045112781954,9.06015037593985,1.5037593984962405,0.19548872180451127,0.6691729323308271,12.962406015037594,4.398496240601504,0.9398496240601504,3.7593984962406015,6.112781954887218,0.6842105263157895,0.6842105263157895
삼성,2015,0.302,0.378,0.469,0.847,6.229166666666667,10.520833333333334,1.7986111111111112,0.1736111111111111,1.2222222222222223,16.333333333333332,5.902777777777778,1.0902777777777777,4.034722222222222,6.458333333333333,0.7569444444444444,0.5277777777777778
넥센,2014,0.298,0.382,0.509,0.891,6.5703125,10.3359375,2.1484375,0.2421875,1.5546875,17.6328125,6.140625,0.78125,4.0859375,6.6328125,0.78125,0.5078125
NC,2020,0.291,0.366,0.462,0.828,6.166666666666667,10.29861111111111,1.7916666666666667,0.19444444444444445,1.2986111111111112,16.375,5.868055555555555,0.7013888888888888,3.673611111111111,6.923611111111111,0.7361111111111112,0.3194444444444444
두산,2010,0.281,0.365,0.44,0.805,5.496240601503759,9.593984962406015,1.6842105263157894,0.18796992481203006,1.1203007518796992,15.015037593984962,5.30827067669173,0.9624060150375939,4.007518796992481,6.2706766917293235,0.7293233082706767,0.40601503759398494
빙그레,1990,0.27,0.355,0.411,0.766,5.083333333333333,8.95,1.45,0.2,0.9333333333333333,13.6,4.666666666666667,1.15,4.125,5.141666666666667,0.6916666666666667,0.5833333333333334
롯데,2010,0.288,0.352,0.461,0.813,5.81203007518797,10.112781954887218,1.6541353383458646,0.12030075187969924,1.3909774436090225,16.18045112781955,5.556390977443609,0.9323308270676691,3.1578947368421053,6.56390977443609,0.7894736842105263,0.45112781954887216
해태,1992,0.272,0.365,0.425,0.789,5.563492063492063,9.03968253968254,1.5158730158730158,0.12698412698412698,1.0952380952380953,14.095238095238095,5.222222222222222,1.0634920634920635,4.436507936507937,5.2063492063492065,0.9047619047619048,0.42857142857142855
